,Date,MinTemp,MaxTemp,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
109,2009-11-28,17.1,26.4,24.0,24.0,48.0,27.0,1006.5,1002.7,18.8,25.7,Yes
110,2009-11-29,12.8,22.3,6.0,19.0,94.0,54.0,1000.5,1000.9,13.5,20.7,Yes
116,2009-12-08,18.2,24.9,13.0,28.0,58.0,45.0,1006.9,1006.0,21.0,21.8,Yes
119,2009-12-24,22.9,34.6,31.0,20.0,21.0,29.0,1006.5,1006.3,32.1,30.4,Yes
123,2009-12-31,21.1,33.2,15.0,20.0,41.0,35.0,1016.8,1012.0,28.1,31.1,Yes
132,2010-02-01,21.0,38.2,4.0,15.0,46.0,19.0,1014.0,1009.9,25.2,36.9,Yes
140,2010-03-06,18.8,30.3,9.0,7.0,87.0,48.0,1010.0,1009.0,22.3,29.4,Yes
141,2010-03-08,18.1,25.5,11.0,37.0,79.0,38.0,1008.7,1007.5,19.8,24.1,Yes
149,2010-04-23,11.3,29.0,7.0,15.0,89.0,34.0,1020.5,1014.0,15.4,27.9,Yes
152,2010-05-04,8.0,25.3,7.0,26.0,92.0,29.0,1017.8,1011.2,11.9,24.8,Yes
161,2010-05-24,5.2,16.3,9.0,9.0,74.0,73.0,1017.6,1013.3,10.3,15.0,Yes
164,2010-05-28,6.4,17.0,0.0,13.0,96.0,63.0,1019.4,1014.3,9.4,17.0,Yes
179,2010-07-31,7.5,12.3,4.0,19.0,100.0,85.0,1013.7,1015.6,11.1,11.6,Yes
181,2010-08-09,0.3,15.5,6.0,15.0,79.0,47.0,1022.4,1019.0,6.0,14.9,Yes
184,2010-08-19,5.0,15.1,15.0,30.0,85.0,56.0,1008.2,1007.8,11.6,14.5,Yes
187,2010-09-09,7.2,14.7,7.0,11.0,76.0,90.0,1015.6,1009.7,11.1,11.9,Yes
188,2010-09-10,8.1,14.0,28.0,22.0,91.0,86.0,1004.5,1006.0,10.9,11.0,Yes
204,2010-11-25,18.9,27.6,7.0,15.0,47.0,57.0,1018.2,1017.0,23.9,25.7,Yes
205,2010-11-27,14.8,27.6,9.0,6.0,77.0,66.0,1012.6,1008.5,20.6,22.7,Yes
206,2010-11-29,13.6,22.6,20.0,22.0,69.0,51.0,1013.6,1012.7,16.6,21.7,Yes
208,2010-12-03,15.7,27.3,13.0,15.0,71.0,75.0,1014.6,1011.3,21.3,21.4,Yes
209,2010-12-07,21.3,29.8,24.0,26.0,50.0,44.0,1011.5,1008.8,25.5,29.0,Yes
216,2011-01-10,20.1,32.0,19.0,11.0,68.0,40.0,1013.6,1010.0,24.1,31.2,Yes
217,2011-01-14,24.0,25.5,33.0,22.0,61.0,90.0,1006.0,1006.0,24.5,21.2,Yes
222,2011-02-03,21.9,36.0,0.0,7.0,74.0,50.0,1012.3,1011.6,25.8,33.9,Yes
224,2011-02-10,17.0,29.7,9.0,17.0,79.0,55.0,1020.1,1016.1,19.8,27.9,Yes
228,2011-02-19,21.7,29.0,17.0,20.0,91.0,67.0,1005.2,1004.5,22.1,27.4,Yes
232,2011-03-09,16.8,27.0,0.0,15.0,61.0,57.0,1014.8,1013.0,22.3,23.9,Yes
233,2011-03-13,19.6,29.3,0.0,13.0,87.0,61.0,1019.8,1017.2,21.8,28.8,Yes
247,2011-05-22,5.8,22.0,0.0,20.0,94.0,53.0,1017.0,1009.3,10.2,20.4,Yes
253,2011-06-19,3.3,11.8,0.0,7.0,99.0,92.0,1017.7,1015.2,7.6,11.4,Yes
257,2011-07-05,6.9,11.2,26.0,28.0,84.0,73.0,1010.1,1008.8,7.8,10.6,Yes
258,2011-07-06,7.0,10.8,17.0,19.0,94.0,87.0,1010.8,1007.7,7.9,10.0,Yes
268,2011-08-14,4.3,17.3,0.0,4.0,88.0,50.0,1027.1,1024.0,8.2,16.3,Yes
271,2011-09-04,6.5,16.8,9.0,11.0,65.0,68.0,1024.2,1021.8,14.5,15.6,Yes
272,2011-09-05,4.8,21.4,0.0,22.0,86.0,52.0,1024.5,1020.2,10.8,20.7,Yes
282,2011-09-30,7.5,15.5,20.0,20.0,84.0,59.0,1006.1,1003.7,10.1,15.1,Yes
291,2011-10-28,12.4,25.9,11.0,19.0,80.0,56.0,1016.1,1011.5,16.7,24.7,Yes
292,2011-11-06,13.8,32.9,7.0,15.0,63.0,44.0,1011.2,1006.4,21.7,27.1,Yes
295,2011-11-24,10.8,26.0,19.0,,44.0,,1024.5,,17.2,,Yes
296,2011-11-26,15.0,25.0,13.0,,83.0,,1006.2,,20.0,,Yes
297,2011-11-29,18.4,35.9,9.0,22.0,68.0,22.0,1012.7,1007.1,22.5,34.8,Yes
308,2011-12-24,16.0,33.1,2.0,13.0,58.0,34.0,1013.3,1009.6,23.8,32.1,Yes
321,2012-01-29,20.0,36.0,19.0,19.0,49.0,28.0,1008.7,1002.4,26.4,33.8,Yes
329,2012-02-20,16.1,21.4,4.0,13.0,82.0,86.0,1013.2,1013.3,19.0,20.5,Yes
333,2012-03-03,18.8,19.6,7.0,15.0,62.0,92.0,1014.2,1011.1,19.3,17.1,Yes
342,2012-04-19,16.9,21.4,2.0,17.0,80.0,76.0,1018.4,1015.8,18.3,20.5,Yes
356,2012-06-04,4.8,14.5,9.0,19.0,100.0,86.0,1008.4,1005.1,6.3,10.8,Yes
361,2012-06-18,1.3,12.7,0.0,11.0,96.0,75.0,1024.7,1023.5,5.6,11.3,Yes
363,2012-06-21,3.0,13.8,9.0,17.0,83.0,59.0,1013.4,1007.8,10.2,13.7,Yes
372,2012-08-05,3.0,16.6,11.0,19.0,92.0,59.0,1014.2,1010.6,8.6,15.4,Yes
376,2012-08-16,6.2,14.7,0.0,17.0,88.0,63.0,1015.0,1010.3,9.0,13.2,Yes
382,2012-09-12,2.6,20.9,4.0,13.0,80.0,37.0,1021.2,1015.2,11.3,20.6,Yes
388,2012-10-06,11.7,13.1,9.0,17.0,97.0,100.0,1016.8,1011.6,12.0,12.4,Yes
390,2012-10-11,7.4,11.6,9.0,13.0,89.0,85.0,1007.5,1008.0,8.8,10.2,Yes
395,2012-11-06,17.8,29.7,11.0,22.0,73.0,42.0,1011.6,1010.0,22.8,27.3,Yes
402,2013-01-05,19.8,43.4,7.0,11.0,36.0,17.0,1012.4,1009.8,30.7,42.4,Yes
412,2013-03-20,9.9,28.6,2.0,20.0,59.0,33.0,1023.5,1018.0,15.3,27.0,Yes
415,2013-03-27,13.8,35.1,2.0,22.0,69.0,27.0,1015.7,1011.0,18.4,34.1,Yes
416,2013-03-28,18.3,22.2,24.0,20.0,84.0,84.0,1013.1,1015.4,22.2,17.1,Yes
436,2013-06-06,5.8,15.0,2.0,13.0,100.0,65.0,1021.9,1019.6,8.5,14.8,Yes
438,2013-06-12,4.9,11.8,13.0,6.0,100.0,100.0,1011.4,1008.4,10.0,11.5,Yes
445,2013-07-20,8.3,11.9,9.0,19.0,89.0,78.0,1006.5,1005.2,9.7,8.8,Yes
447,2013-07-28,3.0,16.1,0.0,24.0,98.0,56.0,1027.5,1021.7,6.2,16.0,Yes
449,2013-08-04,6.3,13.1,15.0,19.0,89.0,62.0,1015.3,1015.6,8.4,12.0,Yes
450,2013-08-05,7.4,13.3,13.0,15.0,96.0,85.0,1017.6,1014.5,8.1,11.7,Yes
451,2013-08-09,2.6,11.2,9.0,11.0,95.0,85.0,1019.8,1016.6,7.2,10.4,Yes
452,2013-08-11,2.9,15.6,9.0,13.0,100.0,58.0,1019.2,1014.9,5.8,14.9,Yes
453,2013-08-14,7.4,18.4,13.0,20.0,65.0,58.0,1011.6,1005.9,11.8,15.7,Yes
456,2013-08-21,2.2,11.0,11.0,11.0,94.0,67.0,1018.4,1015.5,6.4,10.4,Yes
457,2013-08-23,8.6,12.3,22.0,19.0,94.0,94.0,1011.6,1011.9,10.1,11.4,Yes
463,2013-09-15,3.7,20.3,13.0,7.0,84.0,48.0,1018.6,1014.6,11.7,19.3,Yes
464,2013-09-16,7.7,13.6,7.0,9.0,93.0,99.0,1012.7,1006.8,10.9,12.1,Yes
465,2013-09-19,7.7,14.0,20.0,20.0,79.0,67.0,1008.7,1007.6,9.7,12.8,Yes
469,2013-09-30,7.0,26.4,6.0,28.0,70.0,42.0,1014.4,1007.0,15.8,25.6,Yes
470,2013-10-01,15.8,17.2,17.0,30.0,87.0,56.0,1002.9,1008.0,16.3,15.7,Yes
475,2013-10-13,6.8,24.7,0.0,35.0,70.0,61.0,1001.9,1001.6,14.6,17.0,Yes
479,2013-10-21,10.8,27.6,7.0,9.0,64.0,45.0,1013.7,1012.1,18.8,26.6,Yes
493,2013-12-05,10.1,17.5,20.0,28.0,90.0,60.0,1000.8,1001.3,10.1,14.6,Yes
498,2013-12-23,18.3,23.9,20.0,19.0,93.0,68.0,1010.7,1011.0,18.3,20.8,Yes
508,2014-01-24,20.1,23.4,20.0,15.0,84.0,86.0,1010.8,1006.7,20.5,20.7,Yes
514,2014-02-15,19.2,23.1,13.0,13.0,99.0,98.0,998.9,994.8,20.1,22.0,Yes
521,2014-03-21,16.0,30.8,13.0,35.0,54.0,56.0,1019.1,1015.1,23.8,23.5,Yes
523,2014-03-26,14.4,21.9,2.0,9.0,83.0,78.0,1023.8,1021.4,17.4,21.2,Yes
525,2014-03-30,13.8,19.7,6.0,9.0,86.0,98.0,1020.4,1020.8,18.3,17.1,Yes
529,2014-04-09,15.8,18.2,9.0,7.0,96.0,85.0,1021.2,1018.4,16.1,17.9,Yes
532,2014-04-29,10.4,22.6,0.0,13.0,94.0,65.0,1016.3,1009.7,14.8,22.2,Yes
541,2014-05-19,7.8,19.6,0.0,13.0,95.0,68.0,1026.2,1022.6,11.3,19.1,Yes
542,2014-05-23,8.1,20.4,6.0,7.0,100.0,80.0,1017.8,1014.4,12.2,16.6,Yes
546,2014-06-03,11.4,13.8,15.0,15.0,89.0,82.0,1019.3,1019.0,11.6,13.6,Yes
557,2014-06-23,5.8,12.2,20.0,28.0,80.0,86.0,1011.3,1003.0,11.9,11.9,Yes
559,2014-06-29,6.4,10.7,22.0,20.0,98.0,84.0,1004.9,1006.3,7.5,10.4,Yes
563,2014-07-08,6.1,13.3,0.0,17.0,93.0,70.0,1016.7,1011.6,8.3,12.4,Yes
564,2014-07-09,5.0,11.6,11.0,13.0,89.0,87.0,1003.2,998.8,6.9,8.4,Yes
565,2014-07-15,3.5,11.3,6.0,13.0,96.0,90.0,1022.7,1018.1,6.0,11.0,Yes
583,2014-09-24,7.8,19.8,7.0,20.0,88.0,59.0,1021.3,1015.2,13.0,19.3,Yes
599,2014-10-29,7.6,24.4,11.0,13.0,59.0,32.0,1018.8,1015.6,13.2,22.9,Yes
600,2014-11-01,15.2,21.7,22.0,35.0,43.0,37.0,1002.3,1005.0,21.5,20.7,Yes
613,2014-12-01,20.5,32.4,20.0,6.0,55.0,69.0,1008.7,1004.1,25.4,23.7,Yes
615,2014-12-03,14.8,25.8,4.0,13.0,70.0,67.0,1011.8,1011.7,19.0,22.6,Yes
619,2014-12-29,17.7,33.7,19.0,44.0,51.0,15.0,1005.7,998.7,25.2,32.5,Yes
621,2015-01-10,19.7,21.7,7.0,13.0,97.0,95.0,1010.9,1010.3,20.3,21.4,Yes
627,2015-02-14,19.3,24.7,9.0,9.0,63.0,96.0,1019.6,1018.0,22.4,19.9,Yes
643,2015-04-06,10.8,21.1,6.0,9.0,68.0,44.0,1007.3,1005.0,15.6,19.7,Yes
644,2015-04-07,11.8,19.9,6.0,19.0,83.0,60.0,1008.3,1006.8,14.2,18.0,Yes
647,2015-04-23,12.7,24.0,6.0,9.0,83.0,53.0,1014.6,1009.9,15.2,23.1,Yes
649,2015-05-18,2.3,19.2,0.0,4.0,99.0,47.0,1031.8,1025.8,6.6,18.5,Yes
653,2015-05-28,7.4,18.7,15.0,20.0,96.0,70.0,1022.7,1018.1,11.7,18.5,Yes
657,2015-06-04,-1.2,9.9,4.0,11.0,99.0,76.0,1023.5,1018.6,2.6,9.0,Yes
659,2015-06-15,1.8,14.0,0.0,6.0,100.0,70.0,1027.4,1023.5,5.9,13.9,Yes
660,2015-06-16,5.9,14.4,6.0,6.0,100.0,100.0,1019.9,1016.4,11.3,14.2,Yes
663,2015-06-23,1.4,16.8,0.0,15.0,98.0,58.0,1026.0,1021.9,7.3,15.8,Yes
667,2015-08-12,1.8,9.0,6.0,9.0,86.0,86.0,1003.9,1005.0,7.7,7.3,Yes
672,2015-09-02,1.9,17.6,7.0,17.0,87.0,53.0,1016.5,1009.0,7.6,16.7,Yes
691,2015-10-30,9.7,28.1,9.0,17.0,59.0,36.0,1020.6,1016.7,17.8,27.2,Yes
692,2015-10-31,17.1,21.7,15.0,19.0,90.0,77.0,1017.3,1015.1,18.2,19.2,Yes
693,2015-11-01,15.0,27.3,13.0,19.0,90.0,50.0,1014.0,1006.6,17.7,26.0,Yes
695,2015-11-04,14.7,28.7,15.0,22.0,63.0,47.0,1015.0,1011.4,20.9,27.2,Yes
699,2015-11-12,17.9,28.2,7.0,22.0,78.0,49.0,1016.7,1012.0,20.7,26.3,Yes
710,2015-12-20,19.7,41.5,28.0,41.0,18.0,13.0,1008.3,1002.3,33.7,39.5,Yes
715,2016-01-04,17.3,23.7,9.0,17.0,74.0,65.0,1017.9,1016.5,19.2,21.6,Yes
723,2016-01-27,18.5,25.7,9.0,17.0,96.0,65.0,1014.9,1010.5,18.9,23.2,Yes
749,2016-04-30,16.8,23.4,2.0,19.0,100.0,64.0,1018.1,1015.1,17.9,22.5,Yes
754,2016-05-08,13.9,18.2,13.0,26.0,100.0,98.0,1014.6,1008.6,14.7,16.1,Yes
757,2016-06-06,7.2,12.3,11.0,17.0,99.0,80.0,1004.9,1004.0,9.0,11.6,Yes
758,2016-06-07,9.0,12.6,17.0,15.0,92.0,81.0,1004.3,1004.9,9.8,11.6,Yes
759,2016-06-09,11.4,15.7,17.0,13.0,80.0,78.0,1005.5,1006.7,14.2,13.5,Yes
763,2016-06-30,3.0,11.2,15.0,13.0,90.0,82.0,1019.3,1013.2,8.5,9.6,Yes
766,2016-07-10,6.2,14.0,0.0,15.0,100.0,74.0,1023.8,1018.9,9.1,13.4,Yes
769,2016-07-18,2.1,13.4,0.0,2.0,100.0,96.0,1026.2,1022.6,7.3,11.8,Yes
780,2016-08-22,8.4,13.9,11.0,19.0,91.0,79.0,1016.8,1013.9,9.5,10.6,Yes
782,2016-08-30,7.8,15.3,7.0,9.0,81.0,72.0,1024.7,1020.0,10.6,15.2,Yes
783,2016-09-02,6.1,13.9,6.0,7.0,87.0,76.0,1012.1,1005.6,10.1,13.5,Yes
786,2016-09-28,5.3,17.9,7.0,19.0,78.0,49.0,1014.6,1007.4,13.1,17.2,Yes
787,2016-09-30,8.4,13.7,2.0,31.0,98.0,84.0,992.9,995.7,9.8,11.9,Yes
788,2016-10-04,8.3,15.0,20.0,33.0,90.0,86.0,1006.9,1002.4,9.2,12.9,Yes
790,2016-10-16,11.8,24.9,22.0,22.0,53.0,49.0,1008.7,1003.3,19.1,23.9,Yes
791,2016-10-18,10.1,16.4,13.0,22.0,82.0,76.0,1012.8,1011.6,11.3,14.7,Yes
809,2016-12-26,17.6,36.5,11.0,19.0,45.0,26.0,1012.0,1008.3,28.0,34.0,Yes
810,2016-12-30,22.8,32.1,20.0,28.0,85.0,62.0,1002.5,999.2,24.3,30.6,Yes
816,2017-01-20,18.6,28.1,13.0,26.0,100.0,61.0,996.6,995.9,19.3,25.7,Yes
823,2017-02-11,23.9,40.7,6.0,7.0,61.0,32.0,1006.6,1003.9,28.1,36.4,Yes
836,2017-03-27,17.5,34.7,4.0,19.0,81.0,41.0,1013.0,1007.5,20.2,32.9,Yes
842,2017-04-08,9.1,24.2,9.0,13.0,73.0,52.0,1023.9,1018.0,15.7,22.5,Yes
845,2017-04-24,11.0,23.3,2.0,9.0,81.0,59.0,1022.3,1016.9,15.8,22.8,Yes
853,2017-05-23,4.4,19.6,0.0,11.0,100.0,71.0,1021.2,1016.6,9.9,18.0,Yes
871,2009-02-10,16.6,19.4,2.0,9.0,92.0,93.0,1011.9,1010.5,17.7,19.3,Yes
872,2009-02-11,15.5,22.1,13.0,11.0,79.0,70.0,1011.8,1012.1,16.7,19.5,Yes
873,2009-02-14,14.6,18.1,19.0,15.0,94.0,92.0,1023.6,1019.9,15.0,16.5,Yes
874,2009-02-17,15.8,22.3,15.0,17.0,91.0,61.0,1017.7,1016.0,18.1,21.1,Yes
889,2009-04-01,17.6,22.9,20.0,19.0,97.0,78.0,1021.9,1021.4,19.0,22.6,Yes
890,2009-04-03,18.1,26.8,4.0,22.0,99.0,63.0,1021.4,1016.6,19.8,25.9,Yes
894,2009-04-19,14.0,19.9,20.0,20.0,67.0,84.0,1020.3,1019.0,18.3,17.8,Yes
895,2009-04-21,13.2,20.4,20.0,17.0,85.0,85.0,1023.9,1021.7,16.1,17.3,Yes
896,2009-04-22,13.7,21.9,17.0,20.0,85.0,60.0,1024.8,1022.8,17.3,19.4,Yes
905,2009-05-27,10.1,15.6,0.0,7.0,99.0,99.0,1020.7,1018.7,13.2,15.1,Yes
910,2009-06-18,7.3,16.4,13.0,13.0,86.0,69.0,1030.0,1028.1,12.8,16.3,Yes
918,2009-07-07,3.3,14.5,19.0,15.0,71.0,57.0,1025.1,1024.5,9.5,13.7,Yes
919,2009-07-16,4.2,16.5,9.0,20.0,87.0,42.0,1012.7,1010.5,9.0,15.8,Yes
945,2009-09-22,11.2,31.1,13.0,31.0,57.0,36.0,1003.0,998.2,24.1,30.5,Yes
948,2009-10-05,,21.0,,6.0,,57.0,1020.6,1016.9,,18.7,Yes
954,2009-11-05,14.4,21.8,11.0,20.0,73.0,67.0,1021.2,1021.5,19.4,19.7,Yes
963,2009-11-22,17.9,41.6,9.0,35.0,70.0,15.0,1005.0,1001.1,24.0,40.2,Yes
964,2009-11-23,17.6,20.8,19.0,15.0,70.0,86.0,1021.1,1022.7,19.3,17.1,Yes
976,2010-01-02,20.3,30.3,9.0,9.0,72.0,64.0,1007.9,1005.5,24.5,28.6,Yes
982,2010-02-01,17.5,31.6,0.0,26.0,79.0,48.0,1016.3,1015.3,23.6,29.3,Yes
983,2010-02-04,21.3,27.5,,24.0,,69.0,,1010.7,,27.1,Yes
984,2010-02-05,22.0,29.1,2.0,13.0,85.0,72.0,1010.4,1008.3,24.6,27.3,Yes
992,2010-03-05,17.5,24.1,9.0,,80.0,,1012.4,,21.9,,Yes
1000,2010-04-07,17.0,24.4,9.0,17.0,99.0,72.0,1017.1,1012.3,17.6,23.3,Yes
1014,2010-05-26,10.3,14.9,,9.0,,100.0,,1006.6,,14.0,Yes
1016,2010-06-02,7.5,19.9,7.0,11.0,92.0,60.0,1021.5,1020.0,11.8,17.6,Yes
1017,2010-06-04,13.4,16.9,19.0,9.0,89.0,94.0,1019.8,1017.3,15.1,15.1,Yes
1023,2010-06-23,8.4,15.2,6.0,9.0,91.0,98.0,1038.0,1034.9,11.1,13.0,Yes
1026,2010-07-02,2.2,12.1,0.0,0.0,95.0,72.0,1027.2,1023.9,6.5,12.0,Yes
1029,2010-07-08,5.6,16.4,20.0,17.0,70.0,64.0,1027.8,1026.0,11.3,15.0,Yes
1033,2010-07-30,8.9,19.8,0.0,9.0,100.0,76.0,1017.3,1013.7,10.6,19.7,Yes
1046,2010-09-09,5.1,16.3,0.0,7.0,95.0,75.0,1018.4,1010.7,11.0,15.4,Yes
1051,2010-10-13,12.6,25.7,4.0,6.0,100.0,61.0,1020.2,1015.1,15.7,25.7,Yes
1055,2010-10-23,10.5,28.5,0.0,24.0,74.0,52.0,1017.2,1014.3,18.4,23.1,Yes
1059,2010-11-04,12.4,18.1,11.0,17.0,78.0,80.0,1022.8,1020.8,14.8,14.8,Yes
1060,2010-11-08,12.6,30.2,2.0,20.0,80.0,73.0,1017.4,1014.3,19.2,20.7,Yes
1061,2010-11-10,16.7,28.2,6.0,37.0,86.0,82.0,1021.9,1017.5,20.9,19.3,Yes
1063,2010-11-15,20.4,21.1,17.0,9.0,83.0,96.0,1013.8,1012.7,20.5,19.1,Yes
1072,2010-11-29,15.5,19.5,13.0,20.0,93.0,81.0,1014.4,1013.7,16.6,18.7,Yes
1073,2010-12-06,17.7,25.6,2.0,11.0,79.0,97.0,1014.5,1013.2,23.4,20.8,Yes
1075,2010-12-09,21.5,31.2,2.0,17.0,94.0,63.0,1011.0,1007.9,22.9,28.8,Yes
1082,2010-12-25,13.4,31.4,11.0,9.0,70.0,45.0,1017.5,1010.9,20.9,30.1,Yes
1084,2011-01-07,16.1,26.9,9.0,7.0,83.0,86.0,1014.4,1013.1,21.7,23.2,Yes
1085,2011-01-08,19.1,29.0,0.0,19.0,87.0,55.0,1014.3,1011.7,21.6,26.8,Yes
1086,2011-01-10,20.6,28.2,19.0,19.0,90.0,67.0,1016.9,1015.1,22.9,25.6,Yes
1099,2011-02-12,21.6,22.7,20.0,11.0,81.0,71.0,1015.4,1017.3,22.4,21.5,Yes
1102,2011-02-17,19.4,31.8,7.0,11.0,97.0,59.0,1014.3,1011.2,21.8,29.8,Yes
1114,2011-03-18,18.1,25.9,17.0,24.0,75.0,69.0,1015.9,1014.4,20.5,23.0,Yes
1124,2011-05-24,6.5,19.3,2.0,11.0,56.0,67.0,1005.3,1004.7,15.3,15.6,Yes
1127,2011-05-31,12.4,18.2,15.0,15.0,96.0,79.0,1020.4,1019.9,15.4,17.9,Yes
1128,2011-06-01,12.3,18.8,9.0,17.0,86.0,75.0,1026.0,1025.3,15.3,17.0,Yes
1133,2011-06-14,10.7,15.3,19.0,17.0,86.0,90.0,1022.1,1020.9,13.6,13.5,Yes
1154,2011-08-07,9.0,19.1,6.0,11.0,100.0,98.0,1017.2,1012.3,11.9,12.8,Yes
1155,2011-08-11,0.2,17.8,0.0,15.0,100.0,50.0,1009.0,1008.2,5.9,16.2,Yes
1157,2011-08-19,2.9,15.5,15.0,30.0,100.0,91.0,1014.8,1017.4,10.1,14.9,Yes
1165,2011-09-24,12.8,18.1,4.0,11.0,88.0,72.0,1021.8,1017.6,14.6,16.4,Yes
1167,2011-10-06,10.0,19.2,6.0,15.0,84.0,70.0,1016.7,1013.5,14.1,16.3,Yes
1174,2011-10-25,17.7,19.3,6.0,15.0,100.0,100.0,1010.8,1014.4,17.9,15.7,Yes
1175,2011-10-26,11.5,16.9,11.0,13.0,92.0,73.0,1023.1,1022.8,13.5,15.4,Yes
1179,2011-11-08,17.4,34.6,4.0,13.0,100.0,43.0,1014.5,1007.9,19.9,31.6,Yes
1185,2011-11-23,13.6,16.3,11.0,15.0,100.0,100.0,1016.5,1019.7,13.7,15.8,Yes
1186,2011-11-25,13.4,19.6,11.0,15.0,100.0,90.0,1022.4,1020.0,14.7,18.1,Yes
1192,2011-12-08,14.6,20.9,2.0,7.0,99.0,100.0,1014.4,1013.4,16.4,16.8,Yes
1193,2011-12-11,14.5,28.1,6.0,13.0,73.0,90.0,1004.0,1002.5,22.2,20.6,Yes
1194,2011-12-12,15.9,19.7,7.0,9.0,100.0,82.0,1007.4,1006.3,16.5,18.9,Yes
1198,2011-12-22,16.4,22.1,11.0,11.0,98.0,78.0,1019.0,1016.2,17.4,21.4,Yes
1200,2012-01-08,17.0,31.4,6.0,4.0,89.0,66.0,1008.9,1002.8,19.5,28.9,Yes
1201,2012-01-15,16.9,24.6,9.0,17.0,86.0,65.0,1019.5,1018.7,19.4,23.3,Yes
1204,2012-01-21,19.3,25.4,7.0,13.0,88.0,76.0,1015.8,1015.8,21.6,22.7,Yes
1207,2012-02-09,17.1,24.7,6.0,9.0,84.0,95.0,1013.9,1012.3,20.6,20.7,Yes
1213,2012-03-01,18.3,27.3,7.0,6.0,100.0,72.0,1007.5,1001.4,20.0,26.9,Yes
1215,2012-03-07,13.7,21.4,13.0,15.0,69.0,82.0,1018.9,1016.2,17.2,17.6,Yes
1216,2012-03-08,14.0,21.0,24.0,20.0,89.0,89.0,1006.6,1006.4,15.9,17.2,Yes
1218,2012-03-19,14.9,23.4,9.0,17.0,82.0,69.0,1024.2,1022.8,19.1,21.8,Yes
1220,2012-03-22,16.6,18.9,9.0,0.0,82.0,78.0,1010.0,1008.1,16.7,18.5,Yes
1221,2012-03-28,16.9,23.7,4.0,7.0,98.0,66.0,1023.2,1020.2,18.3,22.6,Yes
1224,2012-04-01,11.7,28.0,2.0,11.0,73.0,54.0,1018.0,1014.3,19.9,25.8,Yes
1233,2012-04-17,14.1,20.9,11.0,19.0,81.0,69.0,1023.8,1021.0,17.8,20.2,Yes
1254,2012-07-05,5.5,15.3,20.0,15.0,63.0,57.0,1031.8,1030.7,11.0,14.8,Yes
1256,2012-07-10,3.3,13.8,4.0,0.0,100.0,83.0,1026.9,1021.5,6.8,13.4,Yes
1270,2012-09-13,5.0,22.7,6.0,22.0,86.0,78.0,1006.7,1007.6,13.8,14.6,Yes
1285,2012-11-13,11.7,24.6,7.0,19.0,50.0,53.0,1020.1,1018.2,19.3,20.9,Yes
